--- Atoms: 
USER_CREDIBILITY('719') Truth=[0.97]
USER_CREDIBILITY('711') Truth=[0.97]
USER_CREDIBILITY('712') Truth=[0.96]
USER_CREDIBILITY('713') Truth=[0.95]
USER_CREDIBILITY('714') Truth=[0.95]
USER_CREDIBILITY('715') Truth=[0.95]
USER_CREDIBILITY('716') Truth=[0.97]
USER_CREDIBILITY('717') Truth=[0.97]
USER_CREDIBILITY('718') Truth=[0.97]
USER_CREDIBILITY('710') Truth=[0.96]
USER_CREDIBILITY('722') Truth=[0.97]
USER_CREDIBILITY('723') Truth=[0.97]
USER_CREDIBILITY('724') Truth=[0.96]
USER_CREDIBILITY('725') Truth=[0.96]
USER_CREDIBILITY('726') Truth=[0.96]
USER_CREDIBILITY('727') Truth=[0.97]
USER_CREDIBILITY('728') Truth=[0.97]
USER_CREDIBILITY('729') Truth=[0.97]
USER_CREDIBILITY('720') Truth=[0.97]
USER_CREDIBILITY('721') Truth=[0.97]
USER_CREDIBILITY('708') Truth=[0.96]
USER_CREDIBILITY('709') Truth=[0.96]
USER_CREDIBILITY('700') Truth=[0.96]
USER_CREDIBILITY('701') Truth=[0.97]
USER_CREDIBILITY('702') Truth=[0.97]
USER_CREDIBILITY('703') Truth=[0.97]
USER_CREDIBILITY('704') Truth=[0.97]
USER_CREDIBILITY('705') Truth=[0.97]
USER_CREDIBILITY('706') Truth=[0.96]
USER_CREDIBILITY('707') Truth=[0.97]
USER_CREDIBILITY('1598') Truth=[0.95]
USER_CREDIBILITY('1599') Truth=[0.97]
USER_CREDIBILITY('1596') Truth=[0.97]
USER_CREDIBILITY('1597') Truth=[0.97]
USER_CREDIBILITY('1594') Truth=[0.97]
USER_CREDIBILITY('1595') Truth=[0.97]
USER_CREDIBILITY('1592') Truth=[0.97]
USER_CREDIBILITY('1593') Truth=[0.97]
USER_CREDIBILITY('1590') Truth=[0.96]
USER_CREDIBILITY('1591') Truth=[0.96]
USER_CREDIBILITY('1589') Truth=[0.96]
USER_CREDIBILITY('1587') Truth=[0.97]
